Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00352	AMP	0.99
RDKIT_SHAPRULEMATCH_00353	AMP	0.99
RDKIT_SHAPRULEMATCH_00354	AMP	0.99
RDKIT_SHAPRULEMATCH_00355	AMP	0.98
RDKIT_SHAPRULEMATCH_00356	AMP	0.99
RDKIT_SHAPRULEMATCH_00357	AMP	1.00
RDKIT_SHAPRULEMATCH_00358	AMP	0.99
RDKIT_SHAPRULEMATCH_00359	AMP	0.97
RDKIT_SHAPRULEMATCH_00360	AMP	0.89
RDKIT_SHAPRULEMATCH_00361	AMP	0.97
RDKIT_SHAPRULEMATCH_00362	AMP	0.99
RDKIT_SHAPRULEMATCH_00363	AMP	0.99
RDKIT_SHAPRULEMATCH_00364	AMP	0.99
RDKIT_SHAPRULEMATCH_00365	AMP	0.99
RDKIT_SHAPRULEMATCH_00366	AMP	0.98
RDKIT_SHAPRULEMATCH_00367	AMP	0.99
RDKIT_SHAPRULEMATCH_00368	AMP	0.99
RDKIT_SHAPRULEMATCH_00369	AMP	0.98
RDKIT_SHAPRULEMATCH_00370	AMP	0.99
RDKIT_SHAPRULEMATCH_00371	AMP	0.99
RDKIT_SHAPRULEMATCH_00372	AMP	0.99
RDKIT_SHAPRULEMATCH_00373	AMP	0.99
RDKIT_SHAPRULEMATCH_00374	AMP	0.98
RDKIT_SHAPRULEMATCH_00375	AMP	0.99
RDKIT_SHAPRULEMATCH_00376	AMP	0.99
RDKIT_SHAPRULEMATCH_00377	AMP	0.98
RDKIT_SHAPRULEMATCH_00378	AMP	0.99
RDKIT_SHAPRULEMATCH_00379	AMP	1.00
RDKIT_SHAPRULEMATCH_00380	AMP	1.00
RDKIT_SHAPRULEMATCH_00381	AMP	0.99
RDKIT_SHAPRULEMATCH_00382	AMP	0.99
RDKIT_SHAPRULEMATCH_00383	AMP	0.96
RDKIT_SHAPRULEMATCH_00384	AMP	0.99
RDKIT_SHAPRULEMATCH_00385	AMP	0.99
RDKIT_SHAPRULEMATCH_00386	AMP	0.99
RDKIT_SHAPRULEMATCH_00387	AMP	0.98
RDKIT_SHAPRULEMATCH_00388	AMP	0.99
RDKIT_SHAPRULEMATCH_00389	AMP	0.99
RDKIT_SHAPRULEMATCH_00390	AMP	0.96
RDKIT_SHAPRULEMATCH_00391	AMP	0.99
RDKIT_SHAPRULEMATCH_00392	AMP	0.98
RDKIT_SHAPRULEMATCH_00393	AMP	0.99
RDKIT_SHAPRULEMATCH_00394	AMP	0.85
RDKIT_SHAPRULEMATCH_00395	AMP	0.99
